table_schema,table_name,column_name
public,payments,transaction_id
public,payments,invoice_id
public,pending_schedule_requests,id
public,pending_schedule_requests,customer_id
public,pending_schedule_requests,company_id
public,pending_schedule_requests,job_id
public,po_approval_actions,workflow_id
public,po_approval_actions,id
public,po_approval_actions,approver_id
public,po_approval_rules,approver_user_id
public,po_approval_rules,vendor_category_id
public,po_approval_rules,company_id
public,po_approval_rules,id
public,po_approval_workflows,id
public,po_approval_workflows,company_id
public,po_approval_workflows,purchase_order_id
public,po_approvals,purchase_order_id
public,po_approvals,company_id
public,po_approvals,id
public,po_approvals,approver_user_id
public,po_approvals,rule_id
public,po_items,company_id
public,po_items,inventory_item_id
public,po_items,purchase_order_id
public,po_items,id
public,po_status_history,purchase_order_id
public,po_status_history,id
public,po_status_history,company_id
public,pto_categories_backup_archive_202509,id
public,pto_categories_backup_archive_202509,company_id
public,pto_current_balances,company_id
public,pto_current_balances,employee_id
public,pto_ledger,employee_id
public,pto_ledger,id
public,pto_ledger,related_request_id
public,pto_ledger,payroll_period_id
public,pto_ledger,policy_id
public,pto_ledger,company_id
public,pto_policies,id
public,pto_policies,company_id
public,pto_requests_backup_archive_202509,id
public,pto_requests_backup_archive_202509,company_id
public,pto_requests_backup_archive_202509,policy_id
public,pto_requests_backup_archive_202509,employee_id
public,pto_transactions_archive_202509,id
public,pto_transactions_archive_202509,employee_id
public,pto_transactions_archive_202509,related_request_id
public,pto_transactions_archive_202509,company_id
public,purchase_orders,id
public,purchase_orders,company_id
public,purchase_orders,related_work_order_id
public,purchase_orders,vendor_id
public,quote_templates,company_id
public,quote_templates,id
public,quote_tool_access,tool_id
public,quote_tool_access,id
public,quote_tool_tiers,id
public,quote_tool_tiers,tool_id
public,quote_tool_usage,tier_id
public,quote_tool_usage,id
public,quote_tool_usage,quote_id
public,quote_tool_usage,tool_id
public,quote_tools,company_id
public,quote_tools,id
public,quote_tools,allow_override
public,quotes,id
public,quotes,invoice_id
public,quotes,customer_id
public,quotes,company_id
public,quotes_v,id
public,rates_pricing_settings,company_id
public,rates_pricing_settings,id
public,rates_pricing_settings,holiday_rate_multiplier
public,recurring_jobs,company_id
public,recurring_jobs,customer_id
public,recurring_jobs,id
public,reimbursement_requests,id
public,reimbursement_requests,paid_at
public,reimbursement_requests,reviewer_id
public,reimbursement_requests,approver_id
public,reimbursement_requests,company_id
public,reimbursement_requests,employee_id
public,route_optimizations,company_id
public,route_optimizations,technician_id
public,route_optimizations,id
public,sales_activities,id
public,sales_activities,company_id
public,sales_activities,opportunity_id
public,sales_activities,lead_id
public,sales_activities,user_id
public,sales_performance,target_id
public,sales_performance,user_id
public,sales_pipeline,opportunity_id
public,sales_rep_commission_summary,commission_paid
public,sales_rep_commission_summary,company_id
public,sales_rep_commission_summary,sales_rep_id
public,sales_targets,user_id
public,sales_targets,id
public,sales_targets,company_id
public,schedule_events,employee_id
public,schedule_events,company_id
public,schedule_events,user_id
public,schedule_events,id
public,schedule_events,work_order_id
public,schedule_events,quote_id
public,schedule_events,customer_id
public,service_contracts,company_id
public,service_contracts,id
public,service_contracts,customer_id
public,service_request_responses,contractor_company_id
